Section,ServerName,SymbolCode,IsBookA,BidPrice,AskPrice,Volume,ContractSize,UpdateDateTime
UK,C2,ZS.N4,0,1456.2500000,1458.7500000,0.4000000,50.00,5/6/2014 8:12:46 AM
Default,CBoJ,AUDCAD,0,1.0183500,1.0191100,0.0100000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,AUDNZD,0,1.0663000,1.0667300,0.3300000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,AUDUSD,0,0.9304800,0.9307500,3.8900000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,CHFJPY,0,116.5510000,116.6200000,-2.9000000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,EURAUD,0,1.4950600,1.4958200,0.1000000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,EURJPY,0,141.9620000,141.9900000,-0.0300000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,EURNZD,0,1.5945200,1.5954000,0.0500000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,EURUSD,0,1.3915700,1.3917500,-5.1500000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,GBPCAD,0,1.8535000,1.8541700,-0.0200000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,GBPJPY,0,172.7390000,172.7910000,-0.3800000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,GBPUSD,0,1.6933200,1.6935600,-0.6000000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,NZDUSD,0,0.8722400,0.8728300,-2.9000000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,USDCAD,0,1.0945100,1.0948100,-0.0100000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,USDCHF,0,0.8749400,0.8751700,0.4300000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,USDJPY,0,102.0090000,102.0290000,-0.0700000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,USDTRY,0,2.0964200,2.0970500,0.8800000,100000.00,5/6/2014 8:12:46 AM
Default,CBoJ,XAGUSD,0,19.5990000,19.6390000,6.3700000,5000.00,5/6/2014 8:12:46 AM
Default,CBoJ,XAUUSD,0,1310.8300000,1311.2300000,-0.3600000,100.00,5/6/2014 8:12:46 AM
US,CNX,AUDCAD,0,1.0183500,1.0191100,-30.1554000,100000.00,5/6/2014 8:12:46 AM
